12.1 ч.1 | Управление транспортным средством, не зарегистрированным в установленном порядке | 500 – 800 руб.
12.1 ч.11 | Повторное управление транспортным средством, не зарегистрированным в установленном порядке | 5 000 руб. или лишение прав 1-3 месяцев
12.2 ч.2 | Управление транспортным средством без государственных регистрационных знаков, а равно управление транспортным средством без установленных на предусмотренных для этого местах государственных регистрационных знаков либо управление транспортным средством с государственными регистрационными знаками, видоизмененными или оборудованными с применением устройств или материалов, препятствующих идентификации государственных регистрационных знаков либо позволяющих их видоизменить или скрыть | 5 000 руб. или лишение прав 1-3 месяцев
12.2 ч.3 | Установка на транспортном средстве заведомо подложных государственных регистрационных знаков | 2 500 руб.
12.2 ч.4 | Управление транспортным средством с заведомо подложными государственными регистрационными знаками | лишение прав 6-12 месяцев
12.3 ч.1 | Управление транспортным средством водителем, не имеющим при себе регистрационных документов на транспортное средство, а в установленных случаях документов, предусмотренных таможенным законодательством Таможенного союза, с отметками таможенных органов, подтверждающими временный ввоз транспортного средства | предупреждение или 500 руб., отстранение от управления, задержание транспортного средства
12.3 ч.2 | Управление транспортным средством водителем, не имеющим при себе документов на право управления им, страхового полиса обязательного страхования гражданской ответственности владельцев транспортного средства | предупреждение или 500 руб.
12.3 ч.21 | Перевозка пассажиров и багажа легковым транспортным средством, используемым для оказания услуг по перевозке пассажиров и багажа, водителем, не имеющим при себе разрешения на осуществление деятельности по перевозке пассажиров и багажа легковым такси | 5 000 руб.
12.3 ч.3 | Передача управления транспортным средством лицу, не имеющему при себе документов на право управления им | 3 000 руб.
12.4 ч.1 | Установка на передней части транспортного средства световых приборов с огнями красного цвета или световозвращающих приспособлений красного цвета, а равно световых приборов, цвет огней и режим работы которых не соответствуют требованиям Основных положений по допуску транспортных средств к эксплуатации и обязанностей должностных лиц по обеспечению безопасности дорожного движения | 3 000 руб., конфискация
12.4 ч.2 | Установка на транспортном средстве без соответствующего разрешения устройств для подачи специальных световых или звуковых сигналов (за исключением охранной сигнализации) или незаконная установка на транспортном средстве опознавательного фонаря легкового такси или опознавательного знака "Инвалид" | 5 000 руб., конфискация
12.4 ч.3 | Незаконное нанесение на наружные поверхности транспортного средства специальных цветографических схем автомобилей оперативных служб или цветографической схемы легкового такси | 5 000 руб.
12.5 ч.1 | Управление транспортным средством при наличии неисправностей или условий, при которых в соответствии с Основными положениями по допуску транспортных средств к эксплуатации и обязанностями должностных лиц по обеспечению безопасности дорожного движения эксплуатация транспортного средства запрещена, за исключением неисправностей и условий, указанных в частях 2 - 7 настоящей статьи | предупреждение или 500 руб.
12.5 ч.11 | Управление транспортным средством, в отношении которого не оформлена в установленном порядке диагностическая карта, подтверждающая допуск транспортного средства к участию в дорожном движении | 2 000 руб.
12.5 ч.2 | Управление транспортным средством с заведомо неисправными тормозной системой (за исключением стояночного тормоза), рулевым управлением или сцепным устройством (в составе поезда) | 500 руб., отстранение от управления, задержание транспортного средства
12.5 ч.3 | Управление транспортным средством, на передней части которого установлены световые приборы с огнями красного цвета или световозвращающие приспособления красного цвета, а равно световые приборы, цвет огней и режим работы которых не соответствуют требованиям Основных положений по допуску транспортных средств к эксплуатации и обязанностей должностных лиц по обеспечению безопасности дорожного движения | лишение прав 6-12 месяцев, конфискация
12.5 ч.31 | Управление транспортным средством, на котором установлены стекла (в том числе покрытые прозрачными цветными пленками), светопропускание которых не соответствует требованиям технического регламента отстранение от управления безопасности колесных транспортных средств | 500 руб.
12.5 ч.4 | Управление транспортным средством, на котором без соответствующего разрешения установлены устройства для подачи специальных световых или звуковых сигналов (за исключением охранной сигнализации) | лишение прав 12-18 месяцев, конфискация
12.5 ч.41 | Управление транспортным средством, на котором незаконно установлен опознавательный фонарь легкового такси или опознавательный знак "Инвалид" | 5 000 руб., конфискация
12.5 ч.5 | Использование при движении транспортного средства устройств для подачи специальных световых или звуковых сигналов (за исключением охранной сигнализации), установленных без соответствующего разрешения | лишение прав 18-24 месяцев, конфискация
12.5 ч.6 | Управление транспортным средством, на наружные поверхности которого незаконно нанесены специальные цветографические схемы автомобилей оперативных служб | лишение прав 12-18 месяцев
12.5 ч.7 | Управление транспортным средством, на которое незаконно нанесена цветографическая схема легкового такси | 5 000 руб.
12.6 | Управление транспортным средством водителем, не пристегнутым ремнем безопасности, перевозка пассажиров, не пристегнутых ремнями безопасности, если конструкцией транспортного средства предусмотрены ремни безопасности, а равно управление мотоциклом или мопедом либо перевозка на мотоцикле пассажиров без мотошлемов или в незастегнутых мотошлемах | 1 000 руб.
12.7 ч.1 | Управление транспортным средством водителем, не имеющим права управления транспортным средством (за исключением учебной езды) | 5 000 - 15 000 руб., отстранение от управления, задержание транспортного средства
12.7 ч.2 | Управление транспортным средством водителем, лишенным права управления транспортным средством | 30 000 руб., или административный арест до 15 суток, или обязательные работы 100 - 200 часов, отстранение от управления, задержание транспортного средства
12.7 ч.3 | Передача управления транспортным средством лицу, заведомо не имеющему права управления транспортным средством (за исключением учебной езды) или лишенному такого права | 30 000 руб.
12.7 ч.4 | Повторное совершение административного правонарушения, предусмотренного частью 2 настоящей статьи, если такое действие не содержит признаков уголовно наказуемого деяния 50 000 - 100 000 руб. или обязательные работы 150 - 200 часов, отстранение от управления, задержание транспортного средства
