105 | Убийство ругание пальчиком
106 | Убийство матерью новорожденного ребенка | групповой фистинг
107 | Убийство, совершенное в состоянии аффекта | лишение государственных наград
108 | Убийство, совершенное при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление | ограничение свободы на 3 года
109 | Причинение смерти по неосторожности | ругание пальчиком
110 | Доведение до самоубийства | лишение государственных наград
110.1 | Склонение к совершению самоубийства или содействие совершению самоубийства | секс без обязательств
110.2 | Организация деятельности, направленной на побуждение к совершению самоубийства | штраф в размере 98 000₽
111 | Умышленное причинение тяжкого вреда здоровью | штраф в размере 35 000₽
112 | Умышленное причинение средней тяжести вреда здоровью | секс без обязательств
113 | Причинение тяжкого или средней тяжести вреда здоровью в состоянии аффекта | увольнение с работы
114 | Причинение тяжкого или средней тяжести вреда здоровью при превышении пределов необходимой обороны либо при превышении мер, необходимых для задержания лица, совершившего преступление | штраф в размере 68 000₽
115 | Умышленное причинение легкого вреда здоровью | ограничение свободы на 4 года
116 | Побои | штраф в размере 66 000₽
116.1 | Нанесение побоев лицом, подвергнутым административному наказанию или имеющим судимость | предупреждение
117 | Истязание | лишение государственных наград
118 | Причинение тяжкого вреда здоровью по неосторожности | исправительные работы на 2 года
119 | Угроза убийством или причинением тяжкого вреда здоровью | предупреждение
120 | Принуждение к изъятию органов или тканей человека для трансплантации | штраф в размере 28 000₽
121 | Заражение венерической болезнью | лишение свободы на 5 лет
122 | Заражение ВИЧ-инфекцией | штраф в размере 43 000₽
123 | Незаконное проведение искусственного прерывания беременности | штраф в размере 74 000₽
124 | Неоказание помощи больному | штраф в размере 45 000₽
124.1 | Воспрепятствование оказанию медицинской помощи | штраф в размере 98 000₽
125 | Оставление в опасности | порвать анус
126 | Похищение человека | исправительные работы на 6 месяцев
127 | Незаконное лишение свободы | смертная казнь
127.1 | Торговля людьми | пожизненное заключение
127.2 | Использование рабского труда | групповой фистинг
128 | Незаконная госпитализация в медицинскую организацию, оказывающую психиатрическую помощь в стационарных условиях | буллинг
128.1 | Клевета | предупреждение
131 | Изнасилование | секс без обязательств
132 | Насильственные действия сексуального характера | секс без обязательств
133 | Понуждение к действиям сексуального характера | штраф в размере 58 000₽
134 | Половое сношение и иные действия сексуального характера с лицом, не достигшим шестнадцатилетнего возраста | призыв на СВО
135 | Развратные действия | штраф в размере 90 000₽
136 | Нарушение равенства прав и свобод человека и гражданина | лишение государственных наград
137 | Нарушение неприкосновенности частной жизни | увольнение с работы
138 | Нарушение тайны переписки, телефонных переговоров, почтовых, телеграфных или иных сообщений | групповой фистинг
138.1 | Незаконный оборот специальных технических средств, предназначенных для негласного получения информации | смертная казнь
139 | Нарушение неприкосновенности жилища | исправительные работы на 2 года
140 | Отказ в предоставлении гражданину информации | штраф в размере 44 000₽
141 | Воспрепятствование осуществлению избирательных прав или работе избирательных комиссий | порвать анус
141.1 | Нарушение порядка финансирования избирательной кампании кандидата, избирательного объединения, деятельности инициативной группы по проведению референдума, иной группы участников референдума | исправительные работы на 1 час
142 | Фальсификация избирательных документов, документов референдума, документов общероссийского голосования | смертная казнь
142.1 | Фальсификация итогов голосования | исправительные работы на 1 день
142.2 | Незаконные выдача и получение избирательного бюллетеня, бюллетеня для голосования на референдуме, бюллетеня для общероссийского голосования | лишение государственных наград
143 | Нарушение требований охраны труда | предупреждение
144 | Воспрепятствование законной профессиональной деятельности журналистов | запрет на использование компьютера
144.1 | Необоснованный отказ в приеме на работу или необоснованное увольнение лица, достигшего предпенсионного возраста | запрет на использование компьютера
145 | Необоснованный отказ в приеме на работу или необоснованное увольнение беременной женщины или женщины, имеющей детей в возрасте до трех лет | штраф в размере 85 000₽
145.1 | Невыплата заработной платы, пенсий, стипендий, пособий и иных выплат | штраф в размере 53 000₽
146 | Нарушение авторских и смежных прав | порвать анус
147 | Нарушение изобретательских и патентных прав | исправительные работы на 6 месяцев
148 | Нарушение права на свободу совести и вероисповеданий | запрет на использование компьютера
149 | Воспрепятствование проведению собрания, митинга, демонстрации, шествия, пикетирования или участию в них | призыв на СВО
150 | Вовлечение несовершеннолетнего в совершение преступления | лишение государственных наград
151 | Вовлечение несовершеннолетнего в совершение антиобщественных действий | пожизненное заключение
151.1 | Розничная продажа несовершеннолетним алкогольной продукции | исправительные работы на 4 года
151.2 | Вовлечение несовершеннолетнего в совершение действий, представляющих опасность для жизни несовершеннолетнего | ограничение свободы на 12 лет
153 | Подмена ребенка | порвать анус
154 | Незаконное усыновление (удочерение) | групповой фистинг
155 | Разглашение тайны усыновления (удочерения) | исправительные работы на 2 года
156 | Неисполнение обязанностей по воспитанию несовершеннолетнего | лишение бубенцов
157 | Неуплата средств на содержание детей или нетрудоспособных родителей | лишение бубенцов
158 | Кража | лишение государственных наград
158.1 | Мелкое хищение, совершенное лицом, подвергнутым административному наказанию | запрет на использование компьютера
159 | Мошенничество | призыв на СВО
159.1 | Мошенничество в сфере кредитования | призыв на СВО
159.2 | Мошенничество при получении выплат | лишение бубенцов
159.3 | Мошенничество с использованием электронных средств платежа | смертная казнь
159.5 | Мошенничество в сфере страхования | исправительные работы на 1 год
159.6 | Мошенничество в сфере компьютерной информации | секс без обязательств
160 | Присвоение или растрата | групповой фистинг
161 | Грабеж | лишение государственных наград
162 | Разбой | ругание пальчиком
163 | Вымогательство | штраф в размере 37 000₽
164 | Хищение предметов, имеющих особую ценность | запрет на использование компьютера
165 | Причинение имущественного ущерба путем обмана или злоупотребления доверием | исправительные работы на 1 день
166 | Неправомерное завладение автомобилем или иным транспортным средством без цели хищения | штраф в размере 89 000₽
167 | Умышленные уничтожение или повреждение имущества | групповой фистинг
168 | Уничтожение или повреждение имущества по неосторожности | штраф в размере 33 000₽
169 | Воспрепятствование законной предпринимательской или иной деятельности | предупреждение
170 | Регистрация незаконных сделок с недвижимым имуществом | буллинг
170.1 | Фальсификация единого государственного реестра юридических лиц, реестра владельцев ценных бумаг или системы депозитарного учета | предупреждение
170.2 | Внесение заведомо ложных сведений в межевой план, технический план, акт обследования, проект межевания земельного участка или земельных участков либо карту-план территории | секс без обязательств
171 | Незаконное предпринимательство | запрет на использование компьютера
171.1 | Производство, приобретение, хранение, перевозка или сбыт товаров и продукции без маркировки и (или) нанесения информации, предусмотренной законодательством Российской Федерации | призыв на СВО
171.2 | Незаконные организация и проведение азартных игр | штраф в размере 80 000₽
171.3 | Незаконные производство и (или) оборот этилового спирта, алкогольной и спиртосодержащей продукции, табачной продукции, никотинсодержащей продукции и сырья для их производства | секс без обязательств
171.4 | Незаконная розничная продажа алкогольной и спиртосодержащей пищевой продукции | буллинг
171.5 | Незаконное осуществление деятельности по предоставлению потребительских кредитов (займов) | буллинг
172 | Незаконная банковская деятельность | увольнение с работы
172.1 | Фальсификация финансовых документов учета и отчетности финансовой организации | групповой фистинг
172.2 | Организация деятельности по привлечению денежных средств и (или) иного имущества | лишение государственных наград
172.3 | Невнесение в финансовые документы учета и отчетности кредитной организации сведений о размещенных физическими лицами и индивидуальными предпринимателями денежных средствах | исправительные работы на 1 год
172.4 | Незаконное осуществление деятельности по возврату просроченной задолженности физических лиц | запрет на использование компьютера
173.1 | Незаконное образование (создание, реорганизация) юридического лица | штраф в размере 90 000₽
173.2 | Незаконное использование документов для образования (создания, реорганизации) юридического лица | буллинг
174 | Легализация (отмывание) денежных средств или иного имущества, приобретенных другими лицами преступным путем | исправительные работы на 1 день
174.1 | Легализация (отмывание) денежных средств или иного имущества, приобретенных лицом в результате совершения им преступления | штраф в размере 53 000₽
175 | Приобретение или сбыт имущества, заведомо добытого преступным путем | исправительные работы на 1 год
176 | Незаконное получение кредита | штраф в размере 5 000₽
177 | Злостное уклонение от погашения кредиторской задолженности | групповой фистинг
178 | Ограничение конкуренции | ругание пальчиком
179 | Принуждение к совершению сделки или к отказу от ее совершения | порвать анус
180 | Незаконное использование средств индивидуализации товаров (работ, услуг) | исправительные работы на 2 года
181 | Нарушение правил изготовления и использования государственных пробирных клейм | исправительные работы на 1 день
183 | Незаконные получение и разглашение сведений, составляющих коммерческую, налоговую или банковскую тайну | пожизненное заключение
184 | Оказание противоправного влияния на результат официального спортивного соревнования или зрелищного коммерческого конкурса | ругание пальчиком
185 | Злоупотребления при эмиссии ценных бумаг | лишение государственных наград
185.1 | Злостное уклонение от раскрытия или предоставления информации, определенной законодательством Российской Федерации о ценных бумагах | штраф в размере 90 000₽
185.2 | Нарушение порядка учета прав на ценные бумаги | увольнение с работы
185.3 | Манипулирование рынком | штраф в размере 30 000₽
185.4 | Воспрепятствование осуществлению или незаконное ограничение прав владельцев ценных бумаг | лишение государственных наград
185.5 | Фальсификация решения общего собрания акционеров (участников) хозяйственного общества или решения совета директоров (наблюдательного совета) хозяйственного общества | исправительные работы на 3 года
185.6 | Неправомерное использование инсайдерской информации | штраф в размере 83 000₽
186 | Изготовление, хранение, перевозка или сбыт поддельных денег или ценных бумаг | секс без обязательств
187 | Неправомерный оборот средств платежей | пожизненное заключение
189 | Незаконные экспорт из Российской Федерации или передача товаров или технологий, вооружения или военной техники, незаконное выполнение работ либо незаконное оказание услуг, в отношении которых установлен экспортный контроль | штраф в размере 47 000₽
190 | Невозвращение на территорию Российской Федерации культурных ценностей | групповой фистинг
191 | Незаконный оборот янтаря, нефрита или иных полудрагоценных камней, драгоценных металлов, драгоценных камней либо жемчуга | увольнение с работы
191.1 | Приобретение, хранение, перевозка, переработка в целях сбыта или сбыт заведомо незаконно заготовленной древесины | увольнение с работы
192 | Нарушение правил сдачи государству драгоценных металлов и драгоценных камней | смертная казнь
193 | Уклонение от исполнения обязанностей по репатриации денежных средств в иностранной валюте или валюте Российской Федерации | секс без обязательств
193.1 | Совершение валютных операций по переводу денежных средств в иностранной валюте или валюте Российской Федерации на счета нерезидентов с использованием подложных документов | предупреждение
194 | Уклонение от уплаты таможенных платежей, специальных, антидемпинговых и (или) компенсационных пошлин, взимаемых с организации или физического лица | буллинг
195 | Неправомерные действия при банкротстве | предупреждение
196 | Преднамеренное банкротство | лишение государственных наград
197 | Фиктивное банкротство | смертная казнь
198 | Уклонение физического лица от уплаты налогов, сборов и (или) физического лица - плательщика страховых взносов от уплаты страховых взносов | запрет на использование компьютера
199 | Уклонение от уплаты налогов, сборов, подлежащих уплате организацией, и (или) страховых взносов, подлежащих уплате организацией - плательщиком страховых взносов | порвать анус
199.1 | Неисполнение обязанностей налогового агента | увольнение с работы
199.2 | Сокрытие денежных средств либо имущества организации или индивидуального предпринимателя, за счет которых должно производиться взыскание налогов, сборов, страховых взносов | увольнение с работы
199.3 | Уклонение страхователя - физического лица от уплаты страховых взносов на обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний в государственный внебюджетный фонд | секс без обязательств
199.4 | Уклонение страхователя-организации от уплаты страховых взносов на обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний в государственный внебюджетный фонд | штраф в размере 72 000₽
200.1 | Контрабанда наличных денежных средств и (или) денежных инструментов | порвать анус
200.3 | Привлечение денежных средств граждан в нарушение требований законодательства Российской Федерации об участии в долевом строительстве многоквартирных домов и (или) иных объектов недвижимости | буллинг
200.4 | Злоупотребления в сфере закупок товаров, работ, услуг для обеспечения государственных или муниципальных нужд | призыв на СВО
200.5 | Подкуп работника контрактной службы, контрактного управляющего, члена комиссии по осуществлению закупок | лишение государственных наград
200.6 | Заведомо ложное экспертное заключение в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд | пожизненное заключение
200.7 | Подкуп арбитра (третейского судьи) | призыв на СВО
201 | Злоупотребление полномочиями | штраф в размере 81 000₽
201.1 | Злоупотребление полномочиями при выполнении государственного оборонного заказа | увольнение с работы
201.2 | Нарушение условий государственного контракта по государственному оборонному заказу либо условий договора, заключенного в целях выполнения государственного оборонного заказа | штраф в размере 16 000₽
201.3 | Отказ или уклонение лица, подвергнутого административному наказанию, от заключения государственного контракта по государственному оборонному заказу либо договора, необходимого для выполнения государственного оборонного заказа | запрет на использование компьютера
202 | Злоупотребление полномочиями частными нотариусами и аудиторами | штраф в размере 72 000₽
203 | Превышение полномочий частным детективом или работником частной охранной организации, имеющим удостоверение частного охранника, при выполнении ими своих должностных обязанностей | лишение бубенцов
204 | Коммерческий подкуп | запрет на использование компьютера
204.1 | Посредничество в коммерческом подкупе | пожизненное заключение
204.2 | Мелкий коммерческий подкуп | исправительные работы на 2 года
205 | Террористический акт | штраф в размере 87 000₽
205.1 | Содействие террористической деятельности | групповой фистинг
205.2 | Публичные призывы к осуществлению террористической деятельности, публичное оправдание терроризма или пропаганда терроризма | буллинг
205.3 | Прохождение обучения в целях осуществления террористической деятельности | лишение свободы на 1 год
205.4 | Организация террористического сообщества и участие в нем | исправительные работы на 3 года
205.5 | Организация деятельности террористической организации и участие в деятельности такой организации | призыв на СВО
205.6 | Несообщение о преступлении | пожизненное заключение
206 | Захват заложника | секс без обязательств
207 | Заведомо ложное сообщение об акте терроризма | исправительные работы на 1 день
207.1 | Публичное распространение заведомо ложной информации об обстоятельствах, представляющих угрозу жизни и безопасности граждан | исправительные работы на 1 час
207.2 | Публичное распространение заведомо ложной общественно значимой информации, повлекшее тяжкие последствия | увольнение с работы
207.3 | Публичное распространение заведомо ложной информации об использовании Вооруженных Сил Российской Федерации, исполнении государственными органами Российской Федерации своих полномочий, оказании добровольческими формированиями, организациями или лицами содействия в выполнении задач, возложенных на Вооруженные Силы Российской Федерации или войска национальной гвардии Российской Федерации | лишение государственных наград
208 | Организация незаконного вооруженного формирования или участие в нем, а равно участие в вооруженном конфликте или военных действиях в целях, противоречащих интересам Российской Федерации | штраф в размере 99 000₽
209 | Бандитизм | призыв на СВО
210 | Организация преступного сообщества (преступной организации) или участие в нем (ней) | увольнение с работы
210.1 | Занятие высшего положения в преступной иерархии | порвать анус
211 | Угон судна воздушного или водного транспорта либо железнодорожного подвижного состава | исправительные работы на 6 месяцев
212 | Массовые беспорядки | исправительные работы на 2 года
212.1 | Неоднократное нарушение установленного порядка организации либо проведения собрания, митинга, демонстрации, шествия или пикетирования | штраф в размере 75 000₽
213 | Хулиганство | предупреждение
214 | Вандализм | предупреждение
215 | Нарушение правил безопасности на объектах атомной энергетики | призыв на СВО
215.1 | Прекращение или ограничение подачи электрической энергии либо отключение от других источников жизнеобеспечения | исправительные работы на 2 года
215.2 | Приведение в негодность объектов жизнеобеспечения | групповой фистинг
215.3 | Самовольное подключение к нефтепроводам, нефтепродуктопроводам и газопроводам либо приведение их в негодность | групповой фистинг
215.4 | Незаконное проникновение на охраняемый объект | пожизненное заключение
216 | Нарушение правил безопасности при ведении строительных или иных работ | порвать анус
217 | Нарушение требований промышленной безопасности опасных производственных объектов | увольнение с работы
217.1 | Нарушение требований обеспечения безопасности и антитеррористической защищенности объектов топливно-энергетического комплекса | порвать анус
